dataset,num_nodes,num_edges,density,trial,numfolds,alpha,c_nonlocal,accuracy_nonlocal,c_local,accuracy_local
EuairComplete,417,2953,0.0169820977750174,3,10,0.5,0.6,0.23728813559322,0.99,0.223728813559322
EuairComplete,417,2953,0.0169820977750174,4,10,0.7,0.6,0.2,0.99,0.186440677966102
EuairComplete,417,2953,0.0169820977750174,5,10,0.4,0.6,0.223728813559322,0.99,0.2
EuairComplete,417,2953,0.0169820977750174,6,10,0.1,0.6,0.230508474576271,0.99,0.213559322033898
EuairComplete,417,2953,0.0169820977750174,7,10,0.4,0.6,0.250847457627119,0.99,0.206779661016949
EuairComplete,417,2953,0.0169820977750174,8,10,0.4,0.6,0.169491525423729,0.99,0.159322033898305
EuairComplete,417,2953,0.0169820977750174,9,10,0.1,0.6,0.223728813559322,0.99,0.2
EuairComplete,417,2953,0.0169820977750174,10,10,0.1,0.6,0.227118644067797,0.99,0.179661016949153
EuairComplete,417,2953,0.0169820977750174,11,10,2,0.7,0.230508474576271,0.99,0.220338983050847
EuairComplete,417,2953,0.0169820977750174,12,10,0.4,0.6,0.210169491525424,0.99,0.169491525423729
EuairComplete,417,2953,0.0169820977750174,13,10,2,0.85,0.213559322033898,0.99,0.206779661016949
EuairComplete,417,2953,0.0169820977750174,14,10,0.2,0.6,0.216949152542373,0.99,0.176271186440678
EuairComplete,417,2953,0.0169820977750174,15,10,0.2,0.6,0.247457627118644,0.99,0.227118644067797
delaunay_n10,1024,3056,0.0029144287109375,1,10,3,0.5,0.19344262295082,0.1,0.245901639344262
delaunay_n10,1024,3056,0.0029144287109375,2,10,3,0.2,0.20983606557377,0.1,0.20327868852459
delaunay_n10,1024,3056,0.0029144287109375,3,10,5,0.2,0.219672131147541,0.1,0.20983606557377
delaunay_n10,1024,3056,0.0029144287109375,4,10,5,0.1,0.295081967213115,0.1,0.236065573770492
delaunay_n10,1024,3056,0.0029144287109375,5,10,5,0.1,0.265573770491803,0.4,0.20983606557377
delaunay_n10,1024,3056,0.0029144287109375,6,10,5,0.1,0.281967213114754,0.1,0.229508196721311
delaunay_n10,1024,3056,0.0029144287109375,7,10,5,0.1,0.249180327868852,0.1,0.180327868852459
delaunay_n10,1024,3056,0.0029144287109375,8,10,3,0.1,0.20983606557377,0.1,0.19672131147541
delaunay_n10,1024,3056,0.0029144287109375,9,10,5,0.1,0.262295081967213,0.1,0.216393442622951
delaunay_n10,1024,3056,0.0029144287109375,10,10,3,0.4,0.222950819672131,0.1,0.232786885245902
delaunay_n10,1024,3056,0.0029144287109375,11,10,5,0.1,0.272131147540984,0.1,0.232786885245902
delaunay_n10,1024,3056,0.0029144287109375,12,10,5,0.3,0.2,0.1,0.19016393442623
delaunay_n10,1024,3056,0.0029144287109375,13,10,5,0.1,0.252459016393443,0.1,0.186885245901639
delaunay_n10,1024,3056,0.0029144287109375,14,10,3,0.1,0.232786885245902,0.1,0.20327868852459
delaunay_n10,1024,3056,0.0029144287109375,15,10,5,0.1,0.252459016393443,0.1,0.20327868852459
